shipment_date,planning_day,is_planning_window,corridor_id,item_id,item_name,unique_item_id,dispatch_location,canonical_item_id,reason_code,medicine_type,temp_control
2026-02-22,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-0001,Boston-MGH,RMD-100,exact_match,Antiviral,Cold (2-8C)
2026-02-22,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-0001,Boston-BWH,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-02-22,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-1001,Philadelphia-UPenn,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-02-22,History,0,C2_NJ_PHL,10040,Epinephrine Auto-Injector,EPI-2026-1001,Philadelphia-CHOP,EPI-AI,exact_match,Emergency Drug,Room Temp (20-25C)
2026-02-23,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-0002,Boston-MGH,RMD-100,exact_match,Antiviral,Cold (2-8C)
2026-02-23,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PMB-2026-16500,Boston-DanaFarber,PMB-KEY,generated_identifier,Monoclonal Antibody,Cold (2-8C)
2026-02-23,History,0,C2_NJ_PHL,10021,Remdesivir 100 mg,RMD-2026-1002,Philadelphia-CHOP,RMD-100,alias_match,Antiviral,Cold (2-8C)
2026-02-23,History,0,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-1001,Philadelphia-Jefferson,HEP-SOD,exact_match,Anticoagulant,Room Temp (20-25C)
2026-02-24,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-0002,Boston-BWH,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-02-24,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-0001,Boston-Children,EPI-AI,exact_match,Emergency Drug,Room Temp (20-25C)
2026-02-24,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-3225,Philadelphia-UPenn,INS-LIS,generated_identifier,Hormone,Cold (2-8C)
2026-02-24,History,0,C2_NJ_PHL,10070,Albuterol Inhaler,INH-2026-16096,Philadelphia-CHOP,ALB-INH,generated_identifier,Bronchodilator,Room Temp (20-25C)
2026-02-25,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PMB-2026-54433,Boston-DanaFarber,PMB-KEY,generated_identifier,Monoclonal Antibody,Cold (2-8C)
2026-02-25,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-0001,Boston-MGH,HEP-SOD,exact_match,Anticoagulant,Room Temp (20-25C)
2026-02-25,History,0,C2_NJ_PHL,10035,Pembrolizumab (Keytruda),PMB-2026-64438,Philadelphia-UPenn,PMB-KEY,generated_identifier,Monoclonal Antibody,Cold (2-8C)
2026-02-25,History,0,C2_NJ_PHL,10060,Morphine Sulfate,CTRL-2026-165322,Philadelphia-Jefferson,MOR-SUL,generated_identifier,Opioid Analgesic,Controlled Storage
2026-02-26,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-0003,Boston-MGH,RMD-200,exact_match,Antiviral,Cold (2-8C)
2026-02-26,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-0003,Boston-BWH,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-02-26,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-1003,Philadelphia-UPenn,RMD-100,exact_match,Antiviral,Cold (2-8C)
2026-02-26,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-1002,Philadelphia-CHOP,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-02-27,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-0002,Boston-Children,EPI-AI,exact_match,Emergency Drug,Room Temp (20-25C)
2026-02-27,History,0,C1_I95_NJ_BOS,10050,Heparin Sodium,HEP-2026-0002,Boston-MGH,HEP-SOD,exact_match,Anticoagulant,Room Temp (20-25C)
2026-02-27,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-1002,Philadelphia-CHOP,EPI-AI,alias_match,Emergency Drug,Room Temp (20-25C)
2026-02-27,History,0,C2_NJ_PHL,10050,Heparin Na,HEP-2026-1002,Philadelphia-Jefferson,HEP-SOD,alias_match,Anticoagulant,Room Temp (20-25C)
2026-02-28,History,0,C1_I95_NJ_BOS,10060,Morphine Sulfate,CTRL-2026-896993,Boston-BWH,MOR-SUL,generated_identifier,Opioid Analgesic,Controlled Storage
2026-02-28,History,0,C1_I95_NJ_BOS,10070,Albuterol Inhaler,INH-2026-79471,Boston-Children,ALB-INH,generated_identifier,Bronchodilator,Room Temp (20-25C)
2026-02-28,History,0,C2_NJ_PHL,10060,Morphine Sulphate,CTRL-2026-260518,Philadelphia-Jefferson,MOR-SUL,generated_identifier,Opioid Analgesic,Controlled Storage
2026-02-28,History,0,C2_NJ_PHL,10070,Albuterol Inhaler 90mcg,INH-2026-32229,Philadelphia-CHOP,ALB-INH,generated_identifier,Bronchodilator,Room Temp (20-25C)
2026-03-01,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-1746,Boston-MGH,RMD-100,generated_identifier,Antiviral,Cold (2-8C)
2026-03-01,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-0004,Boston-BWH,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-03-01,History,0,C2_NJ_PHL,10021,Remdesivir 100 mg,RMD-2026-1004,Philadelphia-CHOP,RMD-100,alias_match,Antiviral,Cold (2-8C)
2026-03-01,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-1003,Philadelphia-UPenn,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-03-02,History,0,C1_I95_NJ_BOS,10021,Remdesivir 200mg,RMD-2026-0004,Boston-MGH,RMD-200,exact_match,Antiviral,Cold (2-8C)
2026-03-02,History,0,C1_I95_NJ_BOS,10035,Pembrolizumab,PMB-2026-20470,Boston-DanaFarber,PMB-KEY,generated_identifier,Monoclonal Antibody,Cold (2-8C)
2026-03-02,History,0,C2_NJ_PHL,10035,Pembrolizumab,PMB-2026-18939,Philadelphia-UPenn,PMB-KEY,generated_identifier,Monoclonal Antibody,Cold (2-8C)
2026-03-02,History,0,C2_NJ_PHL,10050,Heparin Sodium,HEP-2026-1003,Philadelphia-Jefferson,HEP-SOD,exact_match,Anticoagulant,Room Temp (20-25C)
2026-03-03,History,0,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-0003,Boston-Children,EPI-AI,exact_match,Emergency Drug,Room Temp (20-25C)
2026-03-03,History,0,C1_I95_NJ_BOS,10060,Morphine Sulfate,CTRL-2026-171012,Boston-BWH,MOR-SUL,generated_identifier,Opioid Analgesic,Controlled Storage
2026-03-03,History,0,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-1003,Philadelphia-CHOP,EPI-AI,alias_match,Emergency Drug,Room Temp (20-25C)
2026-03-03,History,0,C2_NJ_PHL,10060,Morphine Sulphate,CTRL-2026-337806,Philadelphia-Jefferson,MOR-SUL,generated_identifier,Opioid Analgesic,Controlled Storage
2026-03-04,History,0,C1_I95_NJ_BOS,10070,Albuterol Inhaler,INH-2026-23199,Boston-Children,ALB-INH,generated_identifier,Bronchodilator,Room Temp (20-25C)
2026-03-04,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-0005,Boston-BWH,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-03-04,History,0,C2_NJ_PHL,10070,Albuterol Inhaler 90mcg,INH-2026-17371,Philadelphia-CHOP,ALB-INH,generated_identifier,Bronchodilator,Room Temp (20-25C)
2026-03-04,History,0,C2_NJ_PHL,10023,Insulin Aspart,INS-2026-1004,Philadelphia-UPenn,INS-ASP,exact_match,Hormone,Cold (2-8C)
2026-03-05,History,0,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-0005,Boston-MGH,RMD-100,exact_match,Antiviral,Cold (2-8C)
2026-03-05,History,0,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-0006,Boston-BWH,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-03-05,History,0,C2_NJ_PHL,10021,Remdesivir 100mg,RMD-2026-1005,Philadelphia-UPenn,RMD-100,exact_match,Antiviral,Cold (2-8C)
2026-03-05,History,0,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-1005,Philadelphia-CHOP,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-03-06,Day0,1,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-0101,Boston-MGH,RMD-100,exact_match,Antiviral,Cold (2-8C)
2026-03-06,Day0,1,C1_I95_NJ_BOS,10021,Remdesivir 100mg,RMD-2026-3088,Boston-MGH,RMD-100,generated_identifier,Antiviral,Cold (2-8C)
2026-03-06,Day0,1,C1_I95_NJ_BOS,10022,Insulin Lispro,INS-2026-0201,Boston-BWH,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-03-06,Day0,1,C1_I95_NJ_BOS,10035,Pembrolizumab,PMB-2026-17356,Boston-DanaFarber,PMB-KEY,generated_identifier,Monoclonal Antibody,Cold (2-8C)
2026-03-06,Day0,1,C1_I95_NJ_BOS,10040,Epinephrine Auto-Injector,EPI-2026-0401,Boston-Children,EPI-AI,exact_match,Emergency Drug,Room Temp (20-25C)
2026-03-06,Day0,1,C1_I95_NJ_BOS,99999,Experimental Oncology Drug,CT-2026-A8E391,Boston-MGH,EXP-ONC-CT,generated_identifier,Clinical Trial Drug,Strict Cold Chain (-20C)
2026-03-06,Day0,1,C1_I95_NJ_BOS,20021,Remdesivir 200mg,RMD-2026-1743,Boston-BWH,RMD-200,generated_identifier,Antiviral,Cold (2-8C)
2026-03-06,Day0,1,C1_I95_NJ_BOS,10060,Morphine Sulfate,CTRL-2026-310198,Boston-BWH,MOR-SUL,generated_identifier,Opioid Analgesic,Controlled Storage
2026-03-06,Day0,1,C1_I95_NJ_BOS,10070,Albuterol Inhaler,INH-2026-27372,Boston-Children,ALB-INH,generated_identifier,Bronchodilator,Room Temp (20-25C)
2026-03-06,Day0,1,C1_I95_NJ_BOS,10035,Pembrolizumab (Keytruda),PMB-2026-27283,Boston-DanaFarber,PMB-KEY,generated_identifier,Monoclonal Antibody,Cold (2-8C)
2026-03-06,Day0,1,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-1201,Philadelphia-UPenn,INS-LIS,exact_match,Hormone,Cold (2-8C)
2026-03-06,Day0,1,C2_NJ_PHL,10022,Insulin Lispro,INS-2026-6779,Philadelphia-UPenn,INS-LIS,generated_identifier,Hormone,Cold (2-8C)
2026-03-06,Day0,1,C2_NJ_PHL,10021,Remdesivir 100 mg,RMD-2026-1101,Philadelphia-CHOP,RMD-100,alias_match,Antiviral,Cold (2-8C)
2026-03-06,Day0,1,C2_NJ_PHL,10050,Heparin Na,HEP-2026-1301,Philadelphia-Jefferson,HEP-SOD,alias_match,Anticoagulant,Room Temp (20-25C)
2026-03-06,Day0,1,C2_NJ_PHL,10040,EpiPen Auto Injector,EPI-2026-1401,Philadelphia-CHOP,EPI-AI,alias_match,Emergency Drug,Room Temp (20-25C)
